stage,artifact_family,stride,baseline_prompt,baseline_status,mapped_retained_threat_ids,rationale
Constraint and Configuration,Constraint/Configuration Artifact,Denial of Service,Apply Denial of Service to Constraint and Configuration.,direct_retained,CFG-3,Timing-closure or resource-pressure failure from configuration maps directly to CFG-3.
Constraint and Configuration,Constraint/Configuration Artifact,Elevation of Privilege,Apply Elevation of Privilege to Constraint and Configuration.,requires_artifact_rewrite,REL-2,Useful only after rewriting as unauthorized configuration or release authority.
Tool Environment,Tool-Environment Evidence,Spoofing,Apply Spoofing to Tool Environment.,direct_retained,TENV-1,Tool image or plugin identity maps to retained tool-environment identity.
Tool Environment,Tool-Environment Evidence,Tampering,Apply Tampering to Tool Environment.,direct_retained,TENV-1; TENV-3,"Tool image, plugin, version, or update-state modification maps to retained records."
Tool Environment,Tool-Environment Evidence,Repudiation,Apply Repudiation to Tool Environment.,direct_retained,TENV-2; TENV-3,"License, version, and update-state provenance gaps map to retained records."
Tool Environment,Tool-Environment Evidence,Information Disclosure,Apply Information Disclosure to Tool Environment.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Tool Environment,Tool-Environment Evidence,Denial of Service,Apply Denial of Service to Tool Environment.,direct_retained,TENV-2,License-state availability maps to retained tool-environment evidence.
Tool Environment,Tool-Environment Evidence,Elevation of Privilege,Apply Elevation of Privilege to Tool Environment.,requires_artifact_rewrite,REL-2,Useful only after rewriting as build/release authority over generated FPGA artifacts.
Transformation,Transformation/Implementation State,Spoofing,Apply Spoofing to Transformation.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Transformation,Transformation/Implementation State,Tampering,Apply Tampering to Transformation.,direct_retained,TRN-1; TRN-2,Netlist or implementation-state modification maps to retained transformation records.
Transformation,Transformation/Implementation State,Repudiation,Apply Repudiation to Transformation.,direct_retained,RPT-2,Missing transformation lineage maps to retained build-lineage evidence.
Transformation,Transformation/Implementation State,Information Disclosure,Apply Information Disclosure to Transformation.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Transformation,Transformation/Implementation State,Denial of Service,Apply Denial of Service to Transformation.,direct_retained,TRN-3,Routing-state availability maps to retained transformation DoS.
Transformation,Transformation/Implementation State,Elevation of Privilege,Apply Elevation of Privilege to Transformation.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Report Generation,Report/Signoff Evidence,Spoofing,Apply Spoofing to Report Generation.,requires_artifact_rewrite,RPT-2,Useful only after rewriting as report identity and build-lineage evidence.
Report Generation,Report/Signoff Evidence,Tampering,Apply Tampering to Report Generation.,direct_retained,RPT-1,Signoff-report modification maps directly to retained report tampering.
Report Generation,Report/Signoff Evidence,Repudiation,Apply Repudiation to Report Generation.,direct_retained,RPT-2,Missing report-to-build lineage maps to retained repudiation evidence.
Report Generation,Report/Signoff Evidence,Information Disclosure,Apply Information Disclosure to Report Generation.,direct_retained,RPT-3,Report/log disclosure maps directly to retained report confidentiality.
Report Generation,Report/Signoff Evidence,Denial of Service,Apply Denial of Service to Report Generation.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Report Generation,Report/Signoff Evidence,Elevation of Privilege,Apply Elevation of Privilege to Report Generation.,requires_artifact_rewrite,REL-2,Useful only after rewriting as signoff or release authority abuse.
Bitstream Generation,Bitstream/Programming Artifact,Spoofing,Apply Spoofing to Bitstream Generation.,direct_retained,BSD-1,Bitstream identity substitution maps directly to BSD-1.
Bitstream Generation,Bitstream/Programming Artifact,Tampering,Apply Tampering to Bitstream Generation.,direct_retained,BSD-1,Bitstream modification maps directly to BSD-1.
Bitstream Generation,Bitstream/Programming Artifact,Repudiation,Apply Repudiation to Bitstream Generation.,requires_artifact_rewrite,RPT-2; REL-1,Useful only after rewriting as bitstream lineage or release-manifest evidence.
Bitstream Generation,Bitstream/Programming Artifact,Information Disclosure,Apply Information Disclosure to Bitstream Generation.,direct_retained,BSD-2,Bitstream or key disclosure maps directly to BSD-2.
Bitstream Generation,Bitstream/Programming Artifact,Denial of Service,Apply Denial of Service to Bitstream Generation.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Bitstream Generation,Bitstream/Programming Artifact,Elevation of Privilege,Apply Elevation of Privilege to Bitstream Generation.,direct_retained,BSD-3,Unauthorized signing authority maps directly to BSD-3.
Programming and Deployment,Deployment Evidence,Spoofing,Apply Spoofing to Programming and Deployment.,direct_retained,BSD-4,Programming-target identity maps directly to BSD-4.
Programming and Deployment,Deployment Evidence,Tampering,Apply Tampering to Programming and Deployment.,direct_retained,DEP-1,Readback/status manipulation maps directly to DEP-1.
Programming and Deployment,Deployment Evidence,Repudiation,Apply Repudiation to Programming and Deployment.,requires_artifact_rewrite,REL-1; DEP-1,Useful only after rewriting as programming accountability and deployment evidence.
Programming and Deployment,Deployment Evidence,Information Disclosure,Apply Information Disclosure to Programming and Deployment.,direct_retained,DEP-1,Readback/status exposure maps directly to DEP-1.
Programming and Deployment,Deployment Evidence,Denial of Service,Apply Denial of Service to Programming and Deployment.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Programming and Deployment,Deployment Evidence,Elevation of Privilege,Apply Elevation of Privilege to Programming and Deployment.,direct_retained,BSD-4,Unauthorized programming target/action maps directly to BSD-4.
Release Automation,Release Automation Provenance,Spoofing,Apply Spoofing to Release Automation.,requires_artifact_rewrite,REL-2,Useful only after rewriting as release service-account or authority identity.
Release Automation,Release Automation Provenance,Tampering,Apply Tampering to Release Automation.,requires_artifact_rewrite,REL-1; BSD-1,Useful only after rewriting as release-manifest or bitstream substitution evidence.
Release Automation,Release Automation Provenance,Repudiation,Apply Repudiation to Release Automation.,direct_retained,REL-1,Missing or disputed release manifest maps directly to REL-1.
Release Automation,Release Automation Provenance,Information Disclosure,Apply Information Disclosure to Release Automation.,requires_artifact_rewrite,SIP-3; RPT-3; BSD-2,Useful only after rewriting around the exposed FPGA artifact family.
Release Automation,Release Automation Provenance,Denial of Service,Apply Denial of Service to Release Automation.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Release Automation,Release Automation Provenance,Elevation of Privilege,Apply Elevation of Privilege to Release Automation.,direct_retained,REL-2,Release-pipeline privilege abuse maps directly to REL-2.
