"threat_id","group","stride","artifact","trust_boundary","scenario","evidence_requirement","selection_rationale","mitigation_family","artifact_family","attacker_capability","fpga_specific_rationale","evidence_status"
"TENV-3","Tool Environment","Tampering/Repudiation","Tool/IP version or update state","Tool/IP version state to generated artifact lineage","Artifacts are generated with an unexpected tool version, interim update, IP upgrade state, or version-compatible database state not bound to provenance.","Tool version; IP status or upgrade log; installation manifest; database-version record","Retained after DFD coverage check: vendor documentation records tool versions, IP status/upgrade flows, interim-update or version-compatible database concepts that can affect artifact lineage.","Tool and IP version provenance","constraint_configuration","Change, downgrade, upgrade, or omit the tool/IP version state used to generate FPGA artifacts.","FPGA artifacts may depend on tool, IP-generator, and database-version state even when source and constraints are unchanged.","retained threat-model synthesis grounded by audited version/update provenance evidence"
"TRN-1","Transformation","Tampering","Netlist/checkpoint","RTL/HLS/source to generated representation","A generated netlist or synthesis checkpoint is modified or substituted.","Input-output digest chain; synthesis log","Retained: generated representations are documented transformation artifacts requiring lineage and integrity evidence.","Transformation integrity","transformation_state","Modify or substitute generated netlists, synthesized design checkpoints, or equivalent intermediate outputs.","Intermediate hardware representations may be less reviewable than source but determine downstream implementation.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"TRN-2","Transformation","Tampering","Implementation state","Synthesis output to place-and-route state","Implementation checkpoints, seeds, or route databases are manipulated or stale state is reused.","Seed/options manifest; checkpoint digest; route lineage","Retained: implementation state has distinct lineage evidence across synthesis output, place-and-route state, and generated programming artifacts.","Implementation lineage","transformation_state","Reuse stale implementation state or alter checkpoints, seeds, route databases, or option history.","Implementation state binds design intent to a concrete placed/routed realization.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"TRN-3","Transformation","Denial of Service","Routing/implementation state","Implementation authority to build completion","Implementation is delayed or blocked through resource exhaustion or pathological constraints.","Build-resource log; options history; route failure record","Retained: implementation availability can be affected through resource exhaustion, routing failure, or pathological constraints/settings.","Build availability control","transformation_state","Drive implementation into resource exhaustion, routing failure, or pathological runtime through constraints/settings.","FPGA build availability depends on implementation feasibility and routing resources.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"RPT-1","Report","Tampering","Signoff reports","Tool output to human signoff/release decision","Signoff reports are modified, suppressed, or replaced.","Report digest; generator command; timestamp; exception/waiver record","Retained: reports are documented engineering signoff evidence and can be altered independently from source artifacts.","Report integrity","report_signoff","Modify, suppress, regenerate, or replace timing, utilization, DRC, power, exception, or signoff reports.","Reports are engineering evidence for hardware configuration release decisions.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"RPT-2","Report/Provenance","Repudiation","Build lineage","Generated artifact to release/audit boundary","A bitstream or report cannot be traced to source, constraints, options, tool identity, tool version, and approval.","Source-to-bitstream digest chain; CI identity; tool/image identity; attestation","Retained: build lineage is central to artifact-provenance STRIDE and must bind source, constraints, tool identity, reports, and approval.","Provenance and auditability","report_signoff","Trigger or publish builds without durable linkage among source, constraints, options, tool identity, reports, and approval.","Artifact meaning depends on lineage across multiple tool transformations.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"RPT-3","Report","Information Disclosure","Reports/logs","Report archive/release boundary","Reports expose design structure, timing paths, resource use, IP composition, or constraints.","Report permissions; access logs; release classification","Retained: reports/logs can disclose implementation structure, timing paths, resource use, IP composition, or constraints.","Report confidentiality","report_signoff","Read reports/logs from build storage, report archives, or release bundles beyond intended recipients.","Reports reveal hardware architecture and implementation constraints.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"BSD-1","Bitstream","Spoofing/Tampering","Bitstream or programming file","Release artifact to programming input","A bitstream is substituted, mislabeled, stale, or replayed before release or programming.","Bitstream digest; signature where configured; release manifest; programming log; rollback record","Retained: bitstream/programming files are deployable hardware-configuration artifacts with identity and substitution risk.","Bitstream identity","bitstream_programming","Replace, relabel, replay, downgrade, or substitute a bitstream/programming file before release or programming.","A bitstream/programming file is a deployable hardware configuration, not an arbitrary binary.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"BSD-2","Bitstream","Information Disclosure","Bitstream/key material","Artifact storage/release boundary","Bitstreams, signing material, encryption material, or debug metadata leak through storage or release bundles.","Key-handling record; access log; encryption status; debug metadata classification","Retained: confidentiality applies to bitstreams, signing/encryption materials, debug metadata, and release bundles.","Bitstream confidentiality","bitstream_programming","Read bitstreams, signing material, encryption material, debug metadata, or release bundles.","Disclosure can expose design value or weaken configuration-control assumptions.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"BSD-3","Bitstream/Release","Elevation of Privilege","Signing/release authority","CI/release/signing authority boundary","An actor signs, releases, or promotes a bitstream without release authority.","Signer identity; approval record; release manifest","Retained and split from programming-target authority: signing/release authorization uses distinct evidence requirements.","Release authorization","bitstream_programming","Use signing, approval, promotion, or release authority outside the intended FPGA artifact workflow.","Release/signing authority can authorize hardware configuration artifacts.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"BSD-4","Programming","Spoofing/Elevation of Privilege","Programming target/deployment log","Release system to programming target","A bitstream is programmed to an unauthorized or spoofed target, or programming occurs without deployment authority.","Target identity; programmer identity; programming log; rollback record","Retained and split from signing/release authority: programming-target identity and deployment logs are distinct evidence requirements.","Programming authorization","bitstream_programming","Program an unauthorized target, spoof target identity, or alter/delete programming records.","Programming binds a released artifact to an FPGA target and creates a deployment boundary.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"DEP-1","Deployment/Debug","Tampering/Information Disclosure","Programming readback/status/debug evidence","Programming/debug evidence to deployment audit boundary","Programming status, readback or verify data, or debug-capture evidence is altered, omitted, or exposed outside the release policy.","Readback/status log; verify command; debug capture digest; access log","Retained after DFD coverage check: programming status, readback/verify, programmer jobs, and debug-capture artifacts are documented, but runtime physical behavior remains out of scope.","Programming and debug evidence integrity/confidentiality","bitstream_programming","Alter, delete, omit, or disclose programming-status, readback/verify, or debug-capture evidence.","Programming/readback evidence can support deployment accountability and may disclose implementation-sensitive state.","retained threat-model synthesis grounded by audited programming/debug evidence and scope-limited to toolchain artifacts"
"REL-1","Release automation","Repudiation","Release manifest","Build/release artifact authority boundary","Released artifacts lack durable provenance linking source, configuration, tool identity, reports, bitstream, and approval.","Workflow identity; artifact digest set; tool identity; attestation","Retained: release provenance is explicit for FPGA artifact bundles crossing build/release boundaries.","Release provenance","release_provenance","Release artifacts without complete manifests, workflow identity, digest sets, or approval records.","FPGA artifacts require lineage across source/IP, constraints, reports, tool identity, bitstream identity, and release approval.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"REL-2","Release automation","Elevation of Privilege","Release pipeline","Release-automation service-account/release boundary","A release-automation actor releases or signs FPGA artifacts outside the authorized workflow.","Release approval; signing event; service account identity; protected-environment record","Retained: release-automation authority can publish, sign, overwrite, or route hardware-configuration artifacts toward deployment.","Pipeline authorization","release_provenance","Abuse release-automation service accounts, runners, tokens, protected environments, or release jobs affecting FPGA artifacts.","Release-automation authority can publish, sign, overwrite, or route hardware configuration artifacts toward deployment.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
