"Threat ID","Group","Flow Stage","Asset","Threat Actor","Attack Surface","Attack Vector","STRIDE Category","Attack Scenario","Impact","Evidence","Mitigation","Verification Method","Assumption","Limitation","Attacker Capability","Why FPGA-Specific","Attacker Precondition","Impacted Security Property","Detection Evidence","Prevention Evidence","External Mapping"
"TENV-3","Tool Environment","Tool Environment","Tool/IP version or update state","Actor with the listed attacker precondition at the modeled boundary","Tool/IP version state to generated artifact lineage","Change, downgrade, upgrade, or omit the tool/IP version state used to generate FPGA artifacts.","Tampering/Repudiation","Artifacts are generated with an unexpected tool version, interim update, IP upgrade state, or version-compatible database state not bound to provenance.","Artifacts may be generated with unexpected tool, IP-generator, or database-version state while source and constraints appear unchanged","Tool version; IP status or upgrade log; installation manifest; database-version record","Tool and IP version provenance","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Change, downgrade, upgrade, or omit the tool/IP version state used to generate FPGA artifacts.","FPGA artifacts may depend on tool, IP-generator, and database-version state even when source and constraints are unchanged.","Ability to change, downgrade, upgrade, or omit tool/IP version or update-state evidence used to generate FPGA artifacts","Integrity; Non-repudiation","Tool version; IP status or upgrade log; installation manifest; database-version record","Pinned tool/IP versions; upgrade review; version manifest; reproducible command profile","SLSA provenance; in-toto step attestation; SSDF configuration management"
"TRN-1","Transformation","Transformation","Netlist/checkpoint","Actor with the listed attacker precondition at the modeled boundary","RTL/HLS/source to generated representation","Modify or substitute generated netlists, synthesized design checkpoints, or equivalent intermediate outputs.","Tampering","A generated netlist or synthesis checkpoint is modified or substituted.","Intermediate representation no longer derives from approved source and constraints","Input-output digest chain; synthesis log","Transformation integrity","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Modify or substitute generated netlists, synthesized design checkpoints, or equivalent intermediate outputs.","Intermediate hardware representations may be less reviewable than source but determine downstream implementation.","Ability to replace or edit generated netlists or checkpoints","Integrity","Input-output digest chain; synthesis log; checkpoint digest","Protected intermediate storage; immutable transformation records","SLSA provenance; in-toto step attestation"
"TRN-2","Transformation","Transformation","Implementation state","Actor with the listed attacker precondition at the modeled boundary","Synthesis output to place-and-route state","Reuse stale implementation state or alter checkpoints, seeds, route databases, or option history.","Tampering","Implementation checkpoints, seeds, or route databases are manipulated or stale state is reused.","Placed-and-routed state may not correspond to approved inputs","Seed/options manifest; checkpoint digest; route lineage","Implementation lineage","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Reuse stale implementation state or alter checkpoints, seeds, route databases, or option history.","Implementation state binds design intent to a concrete placed/routed realization.","Ability to reuse stale implementation state or alter implementation database/seed","Integrity","Checkpoint digest; seed/options manifest; route lineage","Clean-build policy; state invalidation; protected implementation database","SLSA reproducible build evidence"
"TRN-3","Transformation","Transformation","Routing/implementation state","Actor with the listed attacker precondition at the modeled boundary","Implementation authority to build completion","Drive implementation into resource exhaustion, routing failure, or pathological runtime through constraints/settings.","Denial of Service","Implementation is delayed or blocked through resource exhaustion or pathological constraints.","Implementation cannot complete or repeatedly misses closure","Build-resource log; options history; route failure record","Build availability control","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Drive implementation into resource exhaustion, routing failure, or pathological runtime through constraints/settings.","FPGA build availability depends on implementation feasibility and routing resources.","Ability to influence routing constraints, seeds, or resource pressure","Availability","Route failure record; resource log; options history","Resource-budget review; constraint sanity checks; bounded seed policy","SSDF build integrity"
"RPT-1","Report","Report","Signoff reports","Actor with the listed attacker precondition at the modeled boundary","Tool output to human signoff/release decision","Modify, suppress, regenerate, or replace timing, utilization, DRC, power, exception, or signoff reports.","Tampering","Signoff reports are modified, suppressed, or replaced.","Release decision relies on false timing, DRC, CDC, or utilization evidence","Report digest; generator command; timestamp; exception/waiver record","Report integrity","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Modify, suppress, regenerate, or replace timing, utilization, DRC, power, exception, or signoff reports.","Reports are engineering evidence for hardware configuration release decisions.","Ability to edit, suppress, regenerate, or replace generated signoff reports","Integrity","Report digest; generator command; timestamp; report-to-artifact link","Immutable reports; signed reports; signoff checklist","SSDF verification evidence"
"RPT-2","Report/Provenance","Report/Provenance","Build lineage","Actor with the listed attacker precondition at the modeled boundary","Generated artifact to release/audit boundary","Trigger or publish builds without durable linkage among source, constraints, options, tool identity, reports, and approval.","Repudiation","A bitstream or report cannot be traced to source, constraints, options, tool identity, tool version, and approval.","Released bitstream cannot be traced to source, constraints, options, reports, and approval","Source-to-bitstream digest chain; CI identity; tool/image identity; attestation","Provenance and auditability","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Trigger or publish builds without durable linkage among source, constraints, options, tool identity, reports, and approval.","Artifact meaning depends on lineage across multiple tool transformations.","Missing or deletable build, approval, or artifact lineage records","Non-repudiation","Source-to-bitstream digest chain; CI identity; attestation","Release manifest; in-toto layout; SLSA provenance; immutable logs","SLSA provenance; in-toto"
"RPT-3","Report","Report","Reports/logs","Actor with the listed attacker precondition at the modeled boundary","Report archive/release boundary","Read reports/logs from build storage, report archives, or release bundles beyond intended recipients.","Information Disclosure","Reports expose design structure, timing paths, resource use, IP composition, or constraints.","Timing paths, resource structure, IP composition, or constraints reveal design details","Report permissions; access logs; release classification","Report confidentiality","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Read reports/logs from build storage, report archives, or release bundles beyond intended recipients.","Reports reveal hardware architecture and implementation constraints.","Read access to detailed reports or logs outside intended release scope","Confidentiality","Report access logs; release classification; download records","Report redaction; restricted report storage; release policy","SSDF information protection"
"BSD-1","Bitstream","Bitstream","Bitstream or programming file","Actor with the listed attacker precondition at the modeled boundary","Release artifact to programming input","Replace, relabel, replay, downgrade, or substitute a bitstream/programming file before release or programming.","Spoofing/Tampering","A bitstream is substituted, mislabeled, stale, or replayed before release or programming.","Device can be configured with a hardware image not tied to approved design evidence","Bitstream digest; signature where configured; release manifest; programming log; rollback record","Bitstream identity","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Replace, relabel, replay, downgrade, or substitute a bitstream/programming file before release or programming.","A bitstream/programming file is a deployable hardware configuration, not an arbitrary binary.","Ability to substitute or relabel bitstream/programming artifact before release or programming","Authenticity","Bitstream digest; signature verification; release manifest; programming log","Bitstream signing; manifest binding; protected release registry","FPGA security guidance; SLSA release provenance"
"BSD-2","Bitstream","Bitstream","Bitstream/key material","Actor with the listed attacker precondition at the modeled boundary","Artifact storage/release boundary","Read bitstreams, signing material, encryption material, debug metadata, or release bundles.","Information Disclosure","Bitstreams, signing material, encryption material, or debug metadata leak through storage or release bundles.","Configuration image or key material leaks from storage or release process","Key-handling record; access log; encryption status; debug metadata classification","Bitstream confidentiality","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Read bitstreams, signing material, encryption material, debug metadata, or release bundles.","Disclosure can expose design value or weaken configuration-control assumptions.","Read access to bitstreams, signing material, encryption material, or release bundle","Confidentiality","Key access log; artifact download log; encryption status","Key separation; encrypted storage; hardware-backed signing","FPGA security guidance; SSDF secrets management"
"BSD-3","Bitstream/Release","Bitstream/Release","Signing/release authority","Actor with the listed attacker precondition at the modeled boundary","CI/release/signing authority boundary","Use signing, approval, promotion, or release authority outside the intended FPGA artifact workflow.","Elevation of Privilege","An actor signs, releases, or promotes a bitstream without release authority.","A bitstream can be signed, promoted, or released without the intended release authority","Signer identity; approval record; release manifest","Release authorization","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Use signing, approval, promotion, or release authority outside the intended FPGA artifact workflow.","Release/signing authority can authorize hardware configuration artifacts.","Access to signing service, release role, approval token, or release credential","Authorization","Signer identity; approval record; release manifest; protected-environment log","Separated signing and release roles; approval gates; scoped tokens; protected signing service","SLSA provenance; in-toto; SSDF access control"
"BSD-4","Programming","Programming","Programming target/deployment log","Actor with the listed attacker precondition at the modeled boundary","Release system to programming target","Program an unauthorized target, spoof target identity, or alter/delete programming records.","Spoofing/Elevation of Privilege","A bitstream is programmed to an unauthorized or spoofed target, or programming occurs without deployment authority.","A released artifact can be programmed to the wrong or unauthorized FPGA target","Target identity; programmer identity; programming log; rollback record","Programming authorization","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Program an unauthorized target, spoof target identity, or alter/delete programming records.","Programming binds a released artifact to an FPGA target and creates a deployment boundary.","Ability to program a target, spoof target identity, or alter/delete programming records","Authenticity; Authorization","Target identity; programmer identity; programming log; rollback record","Target allowlist; deployment approval; authenticated programming workflow; protected programming logs","FPGA configuration guidance; SSDF access control; deployment audit logging"
"DEP-1","Deployment/Debug","Deployment/Debug","Programming readback/status/debug evidence","Actor with the listed attacker precondition at the modeled boundary","Programming/debug evidence to deployment audit boundary","Alter, delete, omit, or disclose programming-status, readback/verify, or debug-capture evidence.","Tampering/Information Disclosure","Programming status, readback or verify data, or debug-capture evidence is altered, omitted, or exposed outside the release policy.","Deployment accountability weakens or debug/readback evidence leaks implementation-sensitive state","Readback/status log; verify command; debug capture digest; access log","Programming and debug evidence integrity/confidentiality","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Alter, delete, omit, or disclose programming-status, readback/verify, or debug-capture evidence.","Programming/readback evidence can support deployment accountability and may disclose implementation-sensitive state.","Access to programming status, readback/verify data, debug-capture evidence, or deployment audit logs","Integrity; Confidentiality","Readback/status log; verify command; debug-capture digest; access log","Protected readback/status evidence; debug data classification; retention policy; deployment-audit access control","FPGA configuration guidance; SSDF logging and data protection"
"REL-1","Release automation","Release automation","Release manifest","Actor with the listed attacker precondition at the modeled boundary","Build/release artifact authority boundary","Release artifacts without complete manifests, workflow identity, digest sets, or approval records.","Repudiation","Released artifacts lack durable provenance linking source, configuration, tool identity, reports, bitstream, and approval.","Released FPGA artifacts cannot be audited back to source, constraints, tool identity, reports, bitstream, and approval","Workflow identity; artifact digest set; tool identity; attestation","Release provenance","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Release artifacts without complete manifests, workflow identity, digest sets, or approval records.","FPGA artifacts require lineage across source/IP, constraints, reports, tool identity, bitstream identity, and release approval.","Release process lacks durable manifest, attestation, workflow identity, or artifact retention","Non-repudiation","Workflow identity; artifact digest set; tool identity; release attestation","Release manifest; provenance attestation; immutable artifact registry; retention policy","SLSA provenance; in-toto; SBOM/HBOM"
"REL-2","Release automation","Release automation","Release pipeline","Actor with the listed attacker precondition at the modeled boundary","Release-automation service-account/release boundary","Abuse release-automation service accounts, runners, tokens, protected environments, or release jobs affecting FPGA artifacts.","Elevation of Privilege","A release-automation actor releases or signs FPGA artifacts outside the authorized workflow.","Automated pipeline can publish, sign, overwrite, or route FPGA configuration artifacts toward deployment outside the intended workflow","Release approval; signing event; service account identity; protected-environment record","Pipeline authorization","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Abuse release-automation service accounts, runners, tokens, protected environments, or release jobs affecting FPGA artifacts.","Release-automation authority can publish, sign, overwrite, or route hardware configuration artifacts toward deployment.","Release-automation actor or service account has excessive build, sign, release, overwrite, or routing authority","Authorization","Release approval; signing event; service-account identity; protected-environment record","Least privilege; protected environments; token scoping; separation of build, signing, release, and programming duties","SSDF access control; SLSA builder identity; in-toto layout"
